1,Risa,Pierce,133183594,09261990,M,001524,Vesta,0676221410
2,Maile,Kramer,135370878,07261991,F,001526,Lenna,0957261480
3,Kimberly,Battle,141274186,04071982,F,001527,Jacki,0144591609
4,Kamal,Mcclain,148965694,10091991,M,070000,Luisa,0278635088
5,Yvonne,Vaughan,153614228,02061992,F,070003,Basil,0368901550
6,Fredericka,Austin,163307489,01241991,M,070008,Albertine,3918165510
7,Vincent,Kline,166956068,09081981,F,070014,Page,6439580570
8,Kelsie,Mueller,184498846,01131992,M,070020,Jake,7243583370
9,Branden,Gomez,194531120,11231990,F,070025,Milo,9288121310
10,Shaeleigh,Burks,194640468,12141995,F,070030,Cliff,9949539420
11,Louis,Morse,206947996,09011992,M,070031,Hortense,1006376359
12,Vincente,Love,221978567,06031988,F,070034,Julie,1027833061
13,Rae,Schroeder,227754448,10191984,M,070036,Lisette,1141655335
14,Ian,Justice,229761726,01261997,F,070038,Milan,1227768375
15,Walter,Pearson,238701011,01251993,M,070040,Corinne,1332835182
16,Ethan,Fischer,248500701,07011985,F,070045,Tawana,1393959422
17,Georgia,Chen,253841063,08241990,F,070048,Eliana,1442052967
18,Tatyana,Burch,268593229,10021991,M,070050,Antonina,1498991652
19,Castor,Acosta,282821820,10231992,F,070055,Clotilde,1521882688
20,Michelle,Gill,286114787,12161992,M,070061,Roma,1648675192
21,Oleg,Burnett,295930429,12231982,F,070065,Stephenie,1695046393
22,Yael,Nelson,301449686,10031984,M,070065,Lauran,1738947040
23,Ria,Richard,330861781,04151989,F,070070,Gertrud,1782264920
24,Rajah,Foreman,342521342,11051997,F,070075,Joette,1986265571
25,April,Stokes,350644941,03021985,M,070076,Yen,1997446022
26,Jocelyn,Mann,354265080,09231996,F,070085,Jeffry,2042823725
27,August,Moses,378623472,12041986,M,070090,Altagracia,2093078361
28,Hyatt,Park,390745141,02251988,F,070093,Danyelle,2104258076
29,Tanya,Bishop,398429357,08261982,M,070100,Nu,2193026102
30,Sade,Berger,404547062,07301988,F,070105,Gertrudis,2510282837
31,Erica,Warner,410978683,02231985,F,070110,Allyn,2551088854
32,Ivy,Gaines,424539951,02161988,M,070115,Susannah,2814108342
33,Brent,Nichols,428153367,07091995,F,070116,Brittanie,2879398237
34,Teagan,Harrington,430657441,01201997,M,070118,Lynetta,3072153068
35,Colette,Hyde,430862506,06071992,F,070120,Jacinta,3321571304
36,Clare,Vaughn,436054987,07121995,M,070121,Heidi,3411206059
37,Lesley,Farrell,439794363,07121980,F,070123,Kizzy,3444359311
38,Leandra,Osborn,442249706,08261997,F,070132,Troy,3495241678
39,Morgan,Bradshaw,455160899,04061988,M,070133,Reba,3652476133
40,Garth,Jordan,462833416,02241984,F,070135,Rowena,3691784391
41,Brenden,Muller,463339138,10311996,M,070136,Elroy,3798029145
42,Dominic,Bean,479755670,09261986,F,070145,Andra,3827001558
43,Jerry,Oconnor,497153313,03271985,M,070150,Felecia,3838291862
44,Illana,Sanders,514480644,05221997,F,070155,Karole,3845825343
45,Tashya,Loove,518007620,09011984,F,070160,Mackenzie,4053503928
46,Wanda,Collier,521651077,07241980,M,070163,Casie,4128652904
47,McKenzie,Lee,525478128,09181987,F,070165,Tamela,4270011168
48,Alfonso,Horn,541724300,10301980,M,070169,Mozella,4295177160
49,Janna,Clemons,549690582,09031990,F,070170,Khadijah,4417675538
50,Brynne,Cooke,566937244,08121996,M,070175,Lynette,4495903229
51,Adam,Morton,571915841,02101984,F,070177,Maria,4692500402
52,Omar,Sharp,581124516,03301988,F,070179,Cyrstal,5051007234
53,Ezekiel,Workman,595603417,06221986,M,070182,Glenn,5427993433
54,Cally,Mercer,606035577,11271988,F,070186,Raeann,5604859251
55,Cade,Bates,611235772,09271980,M,070187,Ashanti,5638709481
56,Timon,Keller,619339146,02231986,F,070205,Rich,5697238817
57,Avye,Cannon,634273002,12121993,M,070215,Kina,5809532216
58,Hasad,Hester,634771345,04121990,F,070217,Alaine,6210174221
59,Bethany,Hampton,635081297,02171981,F,070240,Sheron,6564536300
60,Thomas,Avery,635731018,07081986,M,070241,Valarie,6660716655
61,Timothy,Murray,659877699,07021982,F,070242,Nyla,6700299985
62,Jessamine,Fuller,678148194,11071997,M,070243,Meaghan,6738755742
63,Patricia,Mccormick,680545492,02051983,F,070244,Yolonda,6832084698
64,Lysandra,Atkins,687786466,11061981,M,070254,Sulema,7023232043
65,Isach,Mccall,696971606,01011980,F,070255,Nicole,7049256695
66,Isaac,Boyer,697347903,09091983,F,070259,Werner,7076877492
67,Barbara,Walton,701191426,09131994,M,070260,Yu,7298278295
68,Dorothy,Davidson,712815897,08131983,F,070261,Brande,7377285963
69,Brendan,Larsen,716331538,09101993,M,070265,Amber,7414561888
70,Lenore,Garcia,719699534,06231986,F,070268,Moon,7525270599
71,Dolan,Petersen,727651611,08281981,M,070270,Chantel,7707942041
72,Savannah,Cleveland,749674196,05291987,F,070271,Silvia,7758239090
73,Lillith,Hayden,756603579,12021988,F,070275,Francis,7859119176
74,Justina,Campos,776558771,11091986,M,070276,Tobie,7869479053
75,Benjamin,Fletcher,786556043,07101997,F,070280,Marjory,7957965291
76,Lev,Acevedo,788176062,11261991,M,070281,Maranda,8073746406
77,Brock,Barrera,791704851,09171983,F,070284,Mariko,8074683047
78,Thor,Glenn,801613226,07281995,M,070285,Analisa,8091077997
79,Cathleen,Kirk,805900063,04231994,F,070285,Verda,8266149545
80,Claire,Sexton,808416429,01111991,F,070285,Johnny,8275205436
81,Ignatius,Noble,809552019,07211982,M,070291,Marlena,8523578816
82,Erasmus,Huff,830019883,08241980,F,070304,Niki,8539596891
83,Gretchen,Reyes,847697907,03201980,M,070306,Gennie,8563734163
84,Amir,Everett,859947236,03191994,F,070307,Lilian,8571395430
85,Dorian,Cobb,880503571,03111983,M,070308,Gisela,8622781753
86,Amity,Levine,880570399,03291985,F,070309,Kaitlin,8750572637
87,Genevieve,Willis,881577658,10171980,F,070310,Yi,8752736889
88,Silas,Washington,885450636,03271993,M,070311,Lean,8799887125
