1,Risa,Pierce,133183594,9261990,M,1524,Vesta,676221410
2,Maile,Kramer,135370878,7261991,F,1526,Lenna,957261480
3,Kimberly,Battle,141274186,4071982,F,1527,Jacki,144591609
4,Kamal,Mcclain,148965694,10091991,M,70000,Luisa,278635088
5,Yvonne,Vaughan,153614228,2061992,F,70003,Basil,368901550
6,Fredericka,Austin,163307489,1241991,M,70008,Albertine,3918165510
7,Vincent,Kline,166956068,9081981,F,70014,Page,6439580570
8,Kelsie,Mueller,184498846,1131992,M,70020,Jake,7243583370
9,Branden,Gomez,194531120,11231990,F,70025,Milo,9288121310
10,Shaeleigh,Burks,194640468,12141995,F,70030,Cliff,9949539420
11,Louis,Morse,206947996,9011992,M,70031,Hortense,1006376359
12,Vincente,Love,221978567,6031988,F,70034,Julie,1027833061
13,Rae,Schroeder,227754448,10191984,M,70036,Lisette,1141655335
14,Ian,Justice,229761726,1261997,F,70038,Milan,1227768375
15,Walter,Pearson,238701011,1251993,M,70040,Corinne,1332835182
16,Ethan,Fischer,248500701,7011985,F,70045,Tawana,1393959422
17,Georgia,Chen,253841063,8241990,F,70048,Eliana,1442052967
18,Tatyana,Burch,268593229,10021991,M,70050,Antonina,1498991652
19,Castor,Acosta,282821820,10231992,F,70055,Clotilde,1521882688
20,Michelle,Gill,286114787,12161992,M,70061,Roma,1648675192
21,Oleg,Burnett,295930429,12231982,F,70065,Stephenie,1695046393
22,Yael,Nelson,301449686,10031984,M,70065,Lauran,1738947040
23,Ria,Richard,330861781,4151989,F,70070,Gertrud,1782264920
24,Rajah,Foreman,342521342,11051997,F,70075,Joette,1986265571
25,April,Stokes,350644941,3021985,M,70076,Yen,1997446022
26,Jocelyn,Mann,354265080,9231996,F,70085,Jeffry,2042823725
27,August,Moses,378623472,12041986,M,70090,Altagracia,2093078361
28,Hyatt,Park,390745141,2251988,F,70093,Danyelle,2104258076
29,Tanya,Bishop,398429357,8261982,M,70100,Nu,2193026102
30,Sade,Berger,404547062,7301988,F,70105,Gertrudis,2510282837
31,Erica,Warner,410978683,2231985,F,70110,Allyn,2551088854
32,Ivy,Gaines,424539951,2161988,M,70115,Susannah,2814108342
